Action,Intention
1,Random
1,Random
0,Random
2,Random
3,Random
1,Random
1,Random
1,Random
3,Random
0,Random
0,Predicted
3,Random
2,Random
0,Random
4,Predicted
3,Random
4,Predicted
0,Predicted
4,Predicted
0,Random
4,Predicted
4,Predicted
0,Predicted
0,Random
2,Random
1,Random
2,Random
1,Random
4,Predicted
0,Predicted
2,Random
4,Predicted
4,Predicted
4,Predicted
2,Random
2,Random
3,Random
0,Predicted
1,Random
1,Random
0,Random
2,Random
0,Random
2,Random
3,Random
3,Random
0,Random
0,Random
2,Random
3,Random
3,Random
2,Predicted
1,Random
2,Random
2,Random
2,Predicted
4,Predicted
0,Random
0,Random
3,Random
0,Predicted
1,Random
0,Random
3,Random
0,Predicted
0,Random
4,Predicted
1,Random
3,Random
1,Random
1,Random
0,Random
1,Predicted
4,Predicted
0,Random
0,Predicted
2,Random
5,Predicted
1,Random
2,Random
3,Predicted
1,Random
2,Random
1,Predicted
2,Random
4,Predicted
3,Random
4,Predicted
4,Predicted
4,Predicted
0,Random
3,Random
4,Predicted
0,Predicted
4,Predicted
3,Random
1,Random
4,Predicted
1,Random
4,Predicted
3,Random
3,Random
1,Random
2,Random
2,Random
3,Random
4,Predicted
0,Predicted
0,Predicted
3,Random
2,Random
3,Random
0,Predicted
0,Predicted
3,Random
2,Random
0,Random
4,Predicted
3,Random
6,Predicted
0,Random
0,Random
1,Random
0,Random
3,Random
2,Random
4,Predicted
2,Random
1,Random
1,Random
0,Random
4,Predicted
4,Predicted
0,Random
2,Random
1,Predicted
1,Random
2,Random
2,Random
2,Random
4,Predicted
4,Predicted
2,Random
3,Random
4,Predicted
3,Random
3,Random
0,Random
2,Random
1,Predicted
2,Random
1,Predicted
3,Random
4,Predicted
1,Random
2,Random
1,Random
2,Random
3,Random
1,Random
1,Random
2,Random
3,Random
4,Predicted
1,Random
3,Random
4,Predicted
3,Random
3,Random
1,Random
1,Random
2,Random
3,Random
0,Random
4,Predicted
5,Predicted
1,Random
3,Random
0,Random
2,Random
3,Random
3,Random
0,Random
0,Predicted
4,Predicted
3,Random
2,Random
0,Predicted
2,Random
1,Random
4,Predicted
2,Random
2,Random
0,Random
1,Random
2,Predicted
3,Random
3,Random
2,Random
1,Random
0,Random
3,Random
2,Random
1,Random
2,Random
3,Random
0,Random
4,Predicted
3,Random
2,Random
3,Random
1,Random
0,Random
4,Predicted
4,Predicted
0,Predicted
1,Random
3,Random
3,Random
0,Random
0,Random
4,Predicted
0,Random
4,Predicted
4,Predicted
1,Random
0,Random
0,Predicted
0,Predicted
0,Predicted
0,Predicted
1,Random
2,Random
2,Random
0,Random
1,Random
0,Random
1,Random
3,Random
4,Predicted
3,Random
3,Random
4,Predicted
0,Predicted
0,Random
0,Predicted
3,Random
4,Predicted
4,Predicted
3,Predicted
1,Random
0,Random
3,Random
0,Random
4,Predicted
2,Random
0,Random
4,Predicted
4,Predicted
1,Random
2,Random
1,Random
0,Random
4,Predicted
2,Random
3,Random
2,Random
2,Random
3,Random
2,Random
3,Predicted
1,Random
1,Random
0,Predicted
0,Predicted
3,Random
0,Random
1,Random
1,Random
6,Predicted
0,Random
4,Predicted
0,Random
0,Random
0,Predicted
1,Random
3,Random
2,Random
1,Random
1,Random
3,Random
4,Predicted
1,Random
0,Predicted
3,Random
0,Predicted
1,Random
3,Random
1,Random
2,Random
2,Random
1,Random
3,Random
2,Random
3,Random
1,Random
2,Random
0,Predicted
2,Random
4,Predicted
0,Predicted
3,Random
0,Random
1,Random
1,Random
1,Random
0,Random
2,Random
0,Random
2,Random
0,Predicted
1,Random
2,Random
5,Predicted
0,Random
0,Predicted
2,Random
3,Random
1,Random
1,Random
0,Random
4,Predicted
0,Random
1,Random
3,Random
0,Predicted
2,Random
1,Random
0,Predicted
2,Random
3,Random
3,Random
4,Predicted
4,Predicted
4,Predicted
0,Predicted
4,Predicted
3,Random
2,Random
1,Random
0,Random
5,Predicted
2,Random
0,Predicted
3,Random
0,Predicted
0,Predicted
3,Random
0,Predicted
0,Predicted
4,Predicted
4,Predicted
0,Random
2,Random
0,Random
2,Random
4,Predicted
4,Predicted
0,Predicted
3,Random
0,Predicted
1,Random
2,Random
1,Random
0,Predicted
3,Random
2,Random
3,Random
1,Random
2,Predicted
0,Random
0,Random
0,Random
1,Random
0,Random
1,Predicted
1,Random
2,Predicted
5,Predicted
2,Predicted
0,Random
0,Random
3,Random
2,Random
2,Predicted
1,Random
2,Random
2,Predicted
1,Random
1,Predicted
0,Random
2,Random
2,Random
3,Random
2,Random
1,Random
2,Predicted
2,Random
1,Random
0,Random
5,Predicted
0,Predicted
1,Random
3,Random
1,Random
4,Predicted
2,Random
4,Predicted
0,Random
1,Random
2,Random
2,Random
3,Random
0,Random
0,Random
0,Predicted
2,Random
2,Random
4,Predicted
2,Random
5,Predicted
1,Predicted
2,Random
4,Predicted
0,Predicted
2,Random
4,Predicted
0,Predicted
0,Predicted
0,Predicted
3,Random
3,Predicted
3,Random
0,Random
2,Random
2,Random
1,Random
2,Random
0,Random
4,Predicted
2,Random
0,Random
4,Predicted
4,Predicted
2,Random
1,Random
2,Random
2,Random
4,Predicted
1,Random
3,Random
1,Random
0,Predicted
0,Predicted
1,Random
0,Random
4,Predicted
2,Random
0,Predicted
1,Random
2,Random
0,Predicted
3,Random
0,Random
3,Random
0,Random
0,Random
1,Random
2,Random
3,Random
3,Random
0,Random
0,Predicted
1,Random
2,Random
0,Predicted
0,Random
0,Random
1,Random
2,Random
1,Random
1,Random
1,Random
3,Random
4,Predicted
4,Predicted
1,Random
3,Random
3,Random
1,Random
3,Random
2,Predicted
1,Random
0,Predicted
1,Random
3,Random
3,Random
2,Random
4,Predicted
0,Random
0,Random
0,Predicted
1,Random
0,Random
0,Random
2,Random
0,Random
0,Random
0,Random
1,Random
0,Random
2,Random
0,Random
0,Random
2,Random
2,Random
0,Predicted
0,Random
2,Random
2,Random
2,Random
4,Predicted
1,Random
0,Random
0,Predicted
5,Predicted
5,Predicted
5,Predicted
2,Predicted
0,Predicted
2,Random
3,Random
3,Random
2,Random
2,Random
1,Random
1,Random
0,Random
0,Random
3,Random
3,Random
2,Random
0,Random
4,Predicted
1,Random
2,Random
3,Random
4,Predicted
0,Predicted
4,Predicted
4,Predicted
0,Random
0,Random
4,Predicted
1,Random
4,Predicted
3,Random
0,Random
4,Predicted
4,Predicted
1,Random
1,Random
3,Random
0,Predicted
3,Random
3,Random
3,Random
3,Random
1,Random
0,Random
4,Predicted
1,Random
3,Random
1,Random
6,Predicted
5,Predicted
2,Random
3,Random
2,Predicted
3,Random
5,Predicted
0,Random
0,Random
4,Predicted
0,Predicted
2,Random
3,Random
1,Random
1,Random
0,Random
0,Predicted
2,Random
0,Predicted
3,Random
1,Random
0,Predicted
3,Random
0,Random
0,Predicted
0,Random
1,Random
6,Predicted
2,Random
4,Predicted
3,Random
3,Random
3,Random
2,Random
0,Random
4,Predicted
0,Random
1,Random
1,Random
4,Predicted
2,Random
4,Predicted
5,Predicted
2,Random
1,Predicted
3,Random
4,Predicted
3,Random
1,Random
0,Predicted
0,Random
0,Random
4,Predicted
4,Predicted
0,Random
0,Predicted
0,Random
1,Random
1,Random
3,Random
0,Random
2,Random
1,Random
0,Predicted
3,Random
1,Random
3,Random
4,Predicted
4,Predicted
4,Predicted
4,Predicted
3,Random
0,Predicted
3,Random
0,Random
4,Predicted
0,Random
3,Random
3,Random
3,Random
0,Predicted
2,Random
1,Random
2,Random
0,Predicted
2,Random
1,Random
0,Predicted
4,Predicted
3,Random
4,Predicted
4,Predicted
3,Random
3,Random
4,Predicted
3,Random
3,Random
2,Random
1,Random
2,Random
0,Random
3,Random
3,Random
1,Random
0,Predicted
0,Predicted
0,Random
2,Random
0,Predicted
0,Random
3,Random
2,Random
0,Predicted
0,Predicted
3,Random
4,Predicted
3,Random
0,Random
1,Random
4,Predicted
3,Random
2,Random
4,Predicted
2,Random
3,Random
1,Random
4,Predicted
3,Random
0,Random
4,Predicted
5,Predicted
0,Random
3,Random
2,Random
2,Random
3,Random
3,Random
3,Random
0,Random
2,Random
0,Random
2,Random
2,Random
2,Random
5,Predicted
0,Predicted
2,Random
4,Predicted
0,Random
0,Random
2,Random
3,Random
2,Random
3,Random
4,Predicted
4,Predicted
1,Random
0,Random
0,Random
2,Random
3,Random
0,Random
4,Predicted
3,Random
2,Random
3,Random
0,Random
3,Random
2,Predicted
2,Random
2,Random
0,Predicted
2,Random
3,Random
4,Predicted
0,Predicted
1,Random
4,Predicted
1,Random
3,Random
0,Random
0,Predicted
1,Random
1,Random
3,Random
0,Random
0,Random
0,Predicted
0,Predicted
4,Predicted
4,Predicted
3,Random
0,Random
3,Random
2,Random
1,Random
1,Random
1,Random
1,Random
3,Random
2,Random
4,Predicted
2,Random
3,Random
1,Random
1,Random
2,Random
1,Random
0,Random
0,Random
0,Random
0,Random
0,Predicted
2,Random
2,Random
0,Random
1,Random
2,Random
4,Predicted
3,Random
4,Predicted
0,Random
2,Random
4,Predicted
4,Predicted
0,Random
0,Predicted
0,Predicted
2,Random
2,Random
0,Random
2,Random
1,Random
3,Random
0,Random
2,Random
0,Predicted
3,Random
0,Predicted
0,Predicted
2,Random
3,Random
2,Random
3,Random
1,Random
3,Random
0,Predicted
1,Random
0,Random
1,Random
0,Predicted
0,Random
0,Predicted
2,Random
1,Random
2,Random
0,Predicted
0,Predicted
0,Random
1,Random
0,Predicted
2,Random
1,Random
1,Random
0,Random
1,Random
2,Random
4,Predicted
2,Random
0,Random
1,Random
0,Random
0,Random
1,Random
4,Predicted
2,Random
2,Random
1,Random
1,Random
1,Random
0,Random
0,Random
0,Random
1,Random
0,Random
1,Random
2,Random
3,Random
2,Random
0,Predicted
2,Random
0,Predicted
0,Random
0,Random
0,Random
1,Random
2,Random
1,Random
3,Random
3,Random
0,Predicted
3,Random
0,Random
2,Random
2,Random
4,Predicted
1,Random
0,Random
4,Predicted
1,Random
4,Predicted
4,Predicted
0,Random
3,Random
0,Random
3,Random
4,Predicted
2,Random
3,Random
4,Predicted
3,Random
1,Random
1,Random
3,Random
3,Random
4,Predicted
0,Random
1,Random
0,Random
1,Random
3,Random
3,Random
2,Random
0,Random
4,Predicted
6,Predicted
1,Random
0,Random
4,Predicted
1,Random
2,Random
0,Random
0,Random
0,Random
3,Random
0,Random
3,Random
3,Random
0,Random
1,Random
1,Random
0,Predicted
2,Predicted
0,Predicted
2,Random
0,Random
2,Random
2,Predicted
2,Random
0,Random
1,Random
0,Random
0,Predicted
2,Random
0,Random
2,Random
3,Random
4,Predicted
2,Random
3,Random
4,Predicted
0,Random
4,Predicted
4,Predicted
4,Predicted
4,Predicted
2,Random
4,Predicted
0,Random
4,Predicted
0,Random
4,Predicted
4,Predicted
3,Random
4,Predicted
0,Predicted
3,Random
0,Random
0,Predicted
0,Predicted
2,Random
2,Random
3,Random
3,Random
4,Predicted
4,Predicted
1,Random
4,Predicted
4,Predicted
2,Random
1,Random
4,Predicted
4,Predicted
1,Random
4,Predicted
4,Predicted
4,Predicted
4,Predicted
4,Predicted
0,Random
1,Random
1,Random
4,Predicted
2,Random
3,Random
1,Random
3,Random
1,Random
0,Random
0,Random
0,Random
2,Random
3,Random
2,Random
2,Random
5,Predicted
3,Random
4,Predicted
3,Random
3,Random
4,Predicted
1,Random
0,Random
2,Random
2,Random
2,Random
0,Random
4,Predicted
3,Random
2,Random
0,Random
0,Predicted
4,Predicted
2,Random
0,Random
2,Random
4,Predicted
1,Random
0,Predicted
0,Predicted
0,Predicted
0,Predicted
0,Random
3,Random
3,Random
0,Predicted
4,Predicted
2,Random
0,Predicted
0,Random
0,Predicted
2,Random
0,Predicted
0,Predicted
1,Random
1,Random
3,Random
4,Predicted
4,Predicted
2,Random
1,Random
1,Random
3,Random
0,Random
0,Random
1,Random
0,Random
0,Predicted
1,Random
0,Predicted
0,Random
1,Random
0,Random
1,Random
2,Random
1,Random
4,Predicted
1,Random
4,Predicted
0,Random
0,Random
0,Random
0,Random
3,Random
4,Predicted
4,Predicted
0,Predicted
2,Random
2,Random
4,Predicted
2,Random
0,Random
4,Predicted
1,Random
0,Predicted
3,Random
2,Random
4,Predicted
2,Random
4,Predicted
0,Random
3,Random
1,Random
0,Random
4,Predicted
2,Random
4,Predicted
0,Random
0,Predicted
1,Random
0,Predicted
0,Random
0,Predicted
1,Random
3,Random
2,Random
1,Random
3,Random
3,Random
0,Random
0,Predicted
2,Random
3,Random
3,Random
4,Predicted
2,Random
0,Random
1,Random
0,Random
1,Random
2,Random
3,Random
1,Random
0,Predicted
0,Random
1,Random
2,Random
2,Random
4,Predicted
2,Random
1,Random
4,Predicted
2,Random
4,Predicted
3,Random
0,Random
1,Random
1,Random
0,Random
0,Random
4,Predicted
1,Random
4,Predicted
4,Predicted
4,Predicted
4,Predicted
2,Random
4,Predicted
2,Random
0,Predicted
4,Predicted
2,Random
5,Predicted
2,Random
1,Random
0,Predicted
1,Random
3,Random
2,Random
2,Random
3,Random
2,Random
1,Random
3,Random
1,Random
1,Random
2,Random
4,Predicted
4,Predicted
0,Random
0,Random
3,Random
0,Predicted
2,Random
2,Random
0,Predicted
3,Random
2,Random
3,Random
1,Random
2,Random
3,Predicted
0,Predicted
0,Random
0,Predicted
0,Predicted
1,Random
0,Predicted
0,Random
4,Predicted
3,Random
3,Random
4,Predicted
2,Predicted
0,Random
3,Random
0,Random
2,Random
0,Predicted
4,Predicted
1,Random
3,Random
2,Random
1,Random
2,Random
3,Random
1,Random
4,Predicted
0,Random
0,Random
3,Random
0,Predicted
4,Predicted
2,Random
2,Random
0,Predicted
4,Predicted
0,Random
3,Random
1,Random
3,Random
3,Random
0,Random
0,Predicted
4,Predicted
0,Random
0,Random
1,Random
3,Random
0,Predicted
0,Random
1,Random
0,Random
3,Random
1,Random
0,Predicted
0,Predicted
2,Random
0,Predicted
0,Predicted
1,Random
3,Random
0,Random
0,Predicted
1,Random
1,Random
0,Random
1,Random
3,Random
0,Random
0,Predicted
3,Random
3,Random
1,Random
2,Random
0,Predicted
1,Random
3,Random
3,Random
1,Random
3,Random
0,Predicted
2,Random
0,Predicted
0,Random
2,Random
2,Random
3,Random
1,Random
3,Random
1,Random
1,Random
0,Random
0,Predicted
2,Random
2,Random
0,Random
3,Random
0,Predicted
0,Predicted
1,Random
3,Random
0,Predicted
2,Random
0,Predicted
1,Random
1,Random
0,Predicted
0,Random
0,Predicted
0,Predicted
2,Random
3,Random
0,Random
0,Predicted
1,Random
1,Random
2,Random
0,Predicted
0,Predicted
0,Predicted
0,Predicted
3,Random
0,Predicted
0,Predicted
1,Random
1,Random
3,Random
0,Predicted
2,Random
0,Predicted
2,Random
3,Random
2,Random
0,Predicted
3,Random
0,Random
1,Random
2,Random
0,Predicted
2,Random
1,Random
1,Random
0,Predicted
2,Random
0,Random
4,Predicted
1,Random
0,Random
0,Predicted
0,Random
2,Random
4,Predicted
4,Predicted
2,Random
4,Predicted
2,Random
1,Random
0,Random
2,Random
3,Random
0,Random
2,Random
4,Predicted
0,Random
2,Random
0,Predicted
4,Predicted
0,Random
4,Predicted
0,Random
3,Predicted
1,Random
4,Predicted
0,Random
3,Predicted
4,Predicted
4,Predicted
0,Random
4,Predicted
3,Random
3,Random
0,Random
4,Predicted
0,Random
0,Random
4,Predicted
3,Random
3,Random
0,Predicted
2,Random
4,Predicted
0,Random
1,Random
2,Random
0,Random
1,Random
2,Random
0,Random
0,Predicted
3,Random
2,Random
0,Predicted
3,Random
2,Random
0,Predicted
2,Random
0,Predicted
3,Random
0,Random
2,Random
1,Random
4,Predicted
3,Random
2,Random
4,Predicted
1,Random
0,Random
2,Random
3,Random
4,Predicted
3,Random
3,Random
3,Random
1,Random
2,Random
2,Random
1,Random
2,Random
3,Random
0,Random
2,Random
0,Random
1,Random
3,Random
1,Random
2,Random
5,Predicted
4,Predicted
1,Random
2,Random
1,Random
2,Random
3,Random
4,Predicted
0,Random
2,Random
4,Predicted
1,Random
0,Random
4,Predicted
0,Random
2,Random
0,Random
3,Random
0,Random
1,Random
5,Predicted
0,Random
3,Random
2,Random
0,Random
1,Random
4,Predicted
3,Random
5,Predicted
2,Random
1,Random
1,Random
5,Predicted
0,Random
4,Predicted
1,Random
0,Random
1,Random
2,Random
3,Random
3,Random
0,Predicted
0,Predicted
0,Predicted
1,Random
2,Random
3,Random
1,Random
3,Random
1,Random
3,Random
0,Random
0,Predicted
4,Predicted
2,Random
3,Random
4,Predicted
1,Random
3,Random
0,Predicted
3,Random
2,Random
0,Random
0,Random
1,Random
0,Random
0,Predicted
2,Random
2,Random
3,Random
0,Random
2,Random
0,Random
0,Predicted
0,Predicted
3,Predicted
1,Random
3,Random
1,Random
3,Random
0,Predicted
2,Random
4,Predicted
2,Random
4,Predicted
4,Predicted
1,Random
2,Random
3,Random
0,Predicted
3,Random
2,Random
4,Predicted
2,Random
1,Random
4,Predicted
1,Random
4,Predicted
0,Predicted
2,Random
0,Random
2,Random
2,Random
0,Random
0,Predicted
0,Random
1,Random
0,Predicted
1,Random
1,Random
2,Random
0,Random
0,Predicted
0,Predicted
4,Predicted
0,Random
2,Random
2,Random
4,Predicted
4,Predicted
2,Random
0,Random
1,Random
4,Predicted
3,Random
1,Random
1,Random
1,Random
3,Predicted
0,Random
1,Random
3,Random
5,Predicted
2,Random
3,Random
2,Random
2,Random
2,Random
0,Random
1,Random
5,Predicted
3,Random
2,Random
6,Predicted
3,Random
4,Predicted
2,Random
1,Random
1,Predicted
1,Random
1,Predicted
0,Random
0,Random
1,Random
3,Random
1,Random
2,Random
0,Random
0,Predicted
1,Random
2,Random
4,Predicted
4,Predicted
5,Predicted
2,Random
0,Random
2,Random
1,Random
3,Random
0,Random
3,Random
3,Random
2,Random
0,Random
0,Predicted
3,Random
1,Random
1,Random
4,Predicted
0,Predicted
1,Random
2,Random
4,Predicted
5,Predicted
4,Predicted
3,Predicted
1,Random
3,Random
1,Random
1,Random
2,Random
0,Random
4,Predicted
3,Random
4,Predicted
3,Predicted
0,Random
3,Predicted
3,Random
2,Predicted
2,Predicted
2,Random
1,Random
2,Random
3,Random
2,Random
2,Predicted
3,Random
1,Random
4,Predicted
3,Random
1,Random
3,Random
0,Random
3,Random
4,Predicted
4,Predicted
1,Random
4,Predicted
3,Random
1,Random
2,Random
1,Random
1,Random
3,Random
0,Random
2,Random
2,Random
1,Random
2,Random
2,Random
0,Predicted
0,Predicted
2,Random
2,Random
2,Random
3,Random
0,Predicted
3,Random
2,Random
2,Random
4,Predicted
2,Random
2,Random
0,Predicted
3,Random
2,Random
1,Random
0,Predicted
3,Random
3,Random
0,Random
0,Random
1,Random
1,Random
6,Predicted
4,Predicted
6,Predicted
0,Predicted
1,Random
1,Random
0,Random
0,Predicted
0,Random
0,Predicted
1,Random
3,Random
0,Random
0,Random
1,Random
0,Predicted
0,Random
4,Predicted
1,Random
3,Random
0,Random
1,Random
0,Random
4,Predicted
1,Random
4,Predicted
1,Random
2,Random
2,Random
3,Random
0,Random
1,Random
0,Random
4,Predicted
4,Predicted
0,Random
2,Random
1,Random
4,Predicted
0,Predicted
4,Predicted
4,Predicted
3,Random
0,Random
2,Random
0,Random
4,Predicted
0,Random
4,Predicted
2,Random
2,Random
2,Random
0,Predicted
3,Random
0,Predicted
1,Random
2,Random
2,Random
1,Random
0,Random
0,Random
2,Random
0,Random
1,Random
4,Predicted
2,Random
4,Predicted
4,Predicted
0,Random
3,Random
4,Predicted
4,Predicted
2,Random
4,Predicted
2,Random
4,Predicted
0,Random
1,Predicted
0,Random
0,Predicted
1,Random
3,Predicted
2,Random
3,Random
5,Predicted
2,Random
3,Random
4,Predicted
2,Random
3,Random
0,Random
3,Random
2,Random
4,Predicted
1,Random
1,Random
3,Random
3,Random
2,Random
0,Predicted
2,Random
2,Random
3,Random
3,Random
1,Random
3,Random
1,Random
2,Random
4,Predicted
1,Random
1,Random
2,Random
4,Predicted
0,Random
4,Predicted
1,Random
0,Predicted
3,Random
3,Random
0,Random
0,Random
4,Predicted
1,Random
1,Random
4,Predicted
4,Predicted
4,Predicted
2,Random
2,Random
0,Random
4,Predicted
2,Random
2,Random
0,Random
0,Random
1,Random
2,Random
2,Random
4,Predicted
4,Predicted
4,Predicted
0,Random
1,Random
0,Random
0,Predicted
0,Predicted
4,Predicted
0,Random
1,Random
3,Random
0,Random
2,Random
2,Predicted
0,Random
2,Random
4,Predicted
0,Random
0,Random
1,Random
2,Random
2,Random
2,Random
2,Random
1,Random
2,Random
4,Predicted
3,Random
3,Random
0,Random
4,Predicted
4,Predicted
4,Predicted
0,Random
2,Random
4,Predicted
0,Random
1,Random
4,Predicted
4,Predicted
0,Random
4,Predicted
4,Predicted
1,Random
4,Predicted
1,Random
1,Random
3,Random
4,Predicted
2,Random
4,Predicted
3,Random
2,Random
3,Random
2,Random
3,Random
2,Random
1,Random
1,Random
3,Random
0,Predicted
2,Random
0,Random
0,Predicted
0,Predicted
1,Random
2,Random
3,Random
0,Predicted
4,Predicted
1,Random
4,Predicted
2,Random
0,Predicted
1,Random
1,Random
4,Predicted
4,Predicted
4,Predicted
1,Random
3,Random
4,Predicted
3,Random
0,Random
3,Random
4,Predicted
0,Random
0,Random
1,Random
0,Random
3,Random
0,Random
4,Predicted
3,Random
3,Random
1,Random
4,Predicted
2,Random
4,Predicted
4,Predicted
3,Random
2,Random
0,Random
0,Random
1,Random
0,Random
1,Random
0,Predicted
0,Random
4,Predicted
0,Predicted
1,Random
0,Random
3,Random
1,Random
5,Predicted
2,Random
1,Random
4,Predicted
3,Random
4,Predicted
3,Random
3,Random
4,Predicted
0,Random
4,Predicted
4,Predicted
4,Predicted
2,Random
2,Random
3,Random
3,Random
2,Random
0,Predicted
2,Random
0,Predicted
0,Predicted
1,Random
0,Predicted
3,Random
2,Random
2,Random
3,Random
0,Predicted
3,Random
2,Random
2,Random
2,Random
0,Predicted
3,Random
3,Random
2,Random
0,Predicted
1,Random
3,Random
0,Predicted
1,Random
0,Predicted
1,Random
0,Random
0,Predicted
0,Predicted
0,Random
0,Predicted
0,Predicted
1,Random
0,Predicted
0,Predicted
3,Random
0,Random
0,Random
3,Random
4,Predicted
0,Random
4,Predicted
1,Random
0,Predicted
1,Random
3,Random
0,Random
0,Predicted
2,Random
0,Random
1,Random
0,Random
1,Random
3,Random
0,Predicted
0,Predicted
0,Predicted
2,Random
1,Random
0,Random
1,Random
2,Random
0,Predicted
0,Random
3,Random
2,Random
3,Random
0,Random
1,Random
0,Predicted
1,Random
2,Random
1,Random
0,Predicted
0,Random
1,Random
1,Random
0,Predicted
0,Random
0,Predicted
0,Predicted
3,Random
0,Predicted
3,Random
0,Random
3,Random
2,Random
2,Random
2,Random
2,Random
4,Predicted
0,Random
2,Random
3,Random
0,Random
1,Random
2,Random
4,Predicted
1,Random
0,Random
3,Random
3,Random
2,Random
2,Random
0,Predicted
0,Random
3,Random
0,Random
0,Predicted
2,Random
4,Predicted
5,Predicted
3,Random
3,Random
4,Predicted
2,Predicted
3,Random
1,Random
0,Random
0,Predicted
3,Random
3,Random
2,Random
2,Random
4,Predicted
1,Random
1,Random
2,Random
0,Random
4,Predicted
1,Random
3,Random
3,Random
1,Random
0,Random
2,Random
1,Random
4,Predicted
0,Random
3,Random
2,Random
0,Predicted
0,Random
1,Random
4,Predicted
2,Random
4,Predicted
2,Random
3,Random
0,Predicted
0,Random
2,Random
0,Predicted
0,Predicted
3,Random
0,Random
2,Random
3,Random
0,Random
0,Random
0,Random
4,Predicted
0,Predicted
4,Predicted
2,Random
1,Random
1,Random
0,Predicted
1,Random
2,Random
4,Predicted
4,Predicted
2,Random
2,Random
2,Random
0,Predicted
3,Random
3,Random
3,Random
0,Predicted
2,Random
0,Predicted
2,Random
4,Predicted
2,Random
3,Random
4,Predicted
4,Predicted
2,Random
4,Predicted
0,Random
2,Random
1,Random
0,Random
3,Random
1,Random
0,Random
1,Random
2,Random
3,Random
1,Random
3,Random
2,Random
1,Random
1,Random
0,Random
4,Predicted
3,Random
3,Random
0,Random
0,Random
2,Random
3,Random
3,Random
1,Random
0,Random
0,Predicted
1,Random
0,Random
3,Random
3,Random
2,Random
1,Random
3,Random
3,Random
0,Random
2,Random
0,Predicted
3,Random
4,Predicted
0,Random
2,Random
1,Random
4,Predicted
3,Random
3,Random
2,Random
0,Predicted
4,Predicted
3,Random
1,Random
2,Random
0,Random
3,Random
4,Predicted
3,Random
0,Random
0,Random
4,Predicted
0,Predicted
0,Predicted
0,Random
1,Random
1,Random
4,Predicted
0,Random
0,Predicted
1,Random
0,Random
0,Random
0,Predicted
4,Predicted
0,Random
5,Predicted
0,Predicted
1,Random
1,Random
2,Random
5,Predicted
4,Predicted
1,Random
3,Random
1,Random
5,Predicted
5,Predicted
1,Random
4,Predicted
0,Random
1,Random
4,Predicted
4,Predicted
0,Random
0,Random
4,Predicted
4,Predicted
1,Random
1,Random
4,Predicted
2,Random
3,Random
1,Random
1,Random
2,Random
4,Predicted
3,Random
1,Random
3,Random
2,Random
3,Random
2,Random
3,Random
0,Predicted
0,Random
0,Random
0,Predicted
0,Random
3,Random
1,Random
2,Random
0,Random
1,Random
1,Random
5,Predicted
0,Predicted
0,Random
2,Random
1,Random
3,Random
0,Predicted
1,Random
2,Random
4,Predicted
3,Random
1,Random
3,Random
0,Random
0,Random
3,Random
2,Random
3,Random
0,Predicted
4,Predicted
3,Random
0,Random
3,Random
0,Random
2,Random
1,Random
3,Random
1,Random
1,Random
0,Predicted
0,Random
3,Random
1,Random
0,Predicted
0,Random
3,Random
0,Random
3,Random
6,Predicted
1,Random
2,Random
2,Random
6,Predicted
0,Random
0,Random
2,Random
0,Random
3,Random
3,Random
1,Random
0,Random
1,Random
1,Random
0,Predicted
0,Random
1,Random
3,Random
1,Random
3,Random
3,Random
3,Random
1,Random
1,Random
3,Random
3,Random
0,Predicted
0,Predicted
1,Random
4,Predicted
3,Random
3,Random
3,Random
2,Random
1,Predicted
1,Random
4,Predicted
3,Random
6,Predicted
2,Random
3,Random
4,Predicted
2,Random
3,Random
1,Random
2,Random
0,Random
2,Random
2,Random
0,Random
0,Random
0,Random
3,Random
0,Predicted
1,Predicted
3,Predicted
3,Random
1,Random
5,Predicted
0,Random
1,Random
2,Predicted
0,Predicted
1,Random
3,Random
0,Predicted
0,Predicted
1,Random
0,Predicted
2,Random
0,Random
2,Random
2,Random
1,Random
0,Predicted
2,Random
1,Random
0,Predicted
1,Random
0,Predicted
3,Random
2,Random
0,Random
2,Random
3,Random
0,Predicted
0,Random
0,Predicted
0,Predicted
3,Random
0,Random
0,Random
0,Predicted
1,Random
3,Random
2,Random
2,Random
2,Random
3,Random
0,Predicted
3,Random
2,Random
3,Random
0,Random
0,Random
2,Random
1,Random
2,Random
3,Random
0,Random
1,Random
0,Predicted
0,Predicted
1,Random
1,Random
3,Random
0,Predicted
2,Random
0,Predicted
0,Predicted
0,Random
0,Predicted
0,Predicted
0,Predicted
3,Random
3,Random
2,Random
2,Random
2,Random
3,Random
1,Random
2,Random
3,Random
0,Random
0,Predicted
1,Random
1,Random
3,Random
2,Random
0,Predicted
1,Random
2,Random
0,Random
1,Random
0,Random
0,Predicted
3,Random
0,Predicted
0,Random
0,Predicted
1,Random
3,Random
0,Predicted
0,Random
0,Predicted
2,Random
0,Random
3,Random
3,Random
0,Random
0,Random
0,Predicted
1,Random
1,Random
1,Random
4,Predicted
3,Random
5,Predicted
5,Predicted
2,Random
4,Predicted
0,Random
2,Random
4,Predicted
3,Random
3,Random
0,Random
1,Random
1,Random
1,Random
3,Random
0,Random
1,Random
1,Random
4,Predicted
0,Predicted
3,Random
0,Random
0,Random
3,Random
0,Predicted
3,Random
4,Predicted
3,Random
2,Random
0,Random
2,Random
4,Predicted
1,Random
1,Random
